1/1,Nyårsdagen
6/1,Trettondagen
1/5,Första maj
6/6,Sveriges nationaldag / Svenska flaggans dag
24/12,Julafton
25/12,Juldagen
26/12,Annandag jul
31/12,Nyårsafton
