Långfredagen,Fredagen innan Påskdagen
Påskafton,Lördagen innan Påskdagen
Påskdagen,Första söndagen efter ecklesiastisk fullmåne, efter vårdagjämningen
Annandag påsk,Måndagen efter Påskdagen
Kristi himmelfärdsdag,6:e torsdagen efter påskdagen
Pingstafton,Lördagen innan Pingsdagen
Pingstdagen,7:e söndagen efter påskdagen
Midsommarafton,Fredagen mellan 19 juni och 25 juni
Midsommardagen,Lördagen mellan 20 juni och 26 juni
Alla helgons dag,Lördagen mellan 31 oktober och 6 november
